CodigoEstacion,CodigoSensor,FechaObservacion,ValorObservado,NombreEstacion,Departamento,Municipio,ZonaHidrografica,Latitud,Longitud,DescripcionSensor,UnidadMedida
0026085160,0240,07/25/2025 04:20:00 PM,0,SILOE,VALLE DEL CAUCA,CALI,CAUCA,3.4255,-76.56061111,PRECIPITACIÓN,mm
0026115090,0240,07/25/2025 04:20:00 PM,0,LAS BRISAS,VALLE DEL CAUCA,ARGELIA,SAN JUÁN,4.775583333,-76.144277778,PRECIPITACIÓN,mm
0026075120,0240,07/25/2025 04:20:00 PM,0,LA DIANA,VALLE DEL CAUCA,FLORIDA,CAUCA,3.314055556,-76.18569444,PRECIPITACIÓN,mm
0026055100,0240,07/25/2025 04:20:00 PM,0,FARALLONES,VALLE DEL CAUCA,CALI,CAUCA,3.416055556,-76.6515,PRECIPITACIÓN,mm
2633700150,0240,07/25/2025 04:20:00 PM,0,GUAYABAL,VALLE DEL CAUCA,ZARZAL,CAUCA,4.405278889,-76.100752778,PRECIPITACIÓN,mm
2636700098,0240,07/25/2025 04:20:00 PM,0,HACIENDA LA GRACIOSA,VALLE DEL CAUCA,BUGALAGRANDE,CAUCA,4.2398,-76.049247222,PRECIPITACIÓN,mm
2629700151,0240,07/25/2025 04:20:00 PM,0,LA VORAGINE,VALLE DEL CAUCA,CALI,CAUCA,3.346305556,-76.589333333,PRECIPITACIÓN,mm
0026075120,0240,07/25/2025 04:30:00 PM,0,LA DIANA,VALLE DEL CAUCA,FLORIDA,CAUCA,3.314055556,-76.18569444,PRECIPITACIÓN,mm
0026055100,0240,07/25/2025 04:30:00 PM,0,FARALLONES,VALLE DEL CAUCA,CALI,CAUCA,3.416055556,-76.6515,PRECIPITACIÓN,mm
2636700098,0240,07/25/2025 04:30:00 PM,0,HACIENDA LA GRACIOSA,VALLE DEL CAUCA,BUGALAGRANDE,CAUCA,4.2398,-76.049247222,PRECIPITACIÓN,mm
0026055120,0240,07/25/2025 04:30:00 PM,0,UNIVERSIDAD DEL VALLE,VALLE DEL CAUCA,CALI,CAUCA,3.378,-76.53388889,PRECIPITACIÓN,mm
2629700151,0240,07/25/2025 04:30:00 PM,0,LA VORAGINE,VALLE DEL CAUCA,CALI,CAUCA,3.346305556,-76.589333333,PRECIPITACIÓN,mm
5311500121,0240,07/25/2025 04:30:00 PM,0,LA CUMBRE,VALLE DEL CAUCA,LA CUMBRE,TAPAJE - DAGUA - DIRECTOS,3.645194444,-76.56475,PRECIPITACIÓN,mm
2633700150,0240,07/25/2025 04:30:00 PM,0,GUAYABAL,VALLE DEL CAUCA,ZARZAL,CAUCA,4.405278889,-76.100752778,PRECIPITACIÓN,mm
0026085160,0240,07/25/2025 04:30:00 PM,0,SILOE,VALLE DEL CAUCA,CALI,CAUCA,3.4255,-76.56061111,PRECIPITACIÓN,mm
0026085170,0240,07/25/2025 04:30:00 PM,0,BASE AEREA MARCO FIDEL SUAREZ,VALLE DEL CAUCA,CALI,CAUCA,3.454414,-76.499948,PRECIPITACIÓN,mm
2633500119,0240,07/25/2025 04:30:00 PM,0,GUACHAL PALMASECA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.559541667,-76.456897222,PRECIPITACIÓN,mm
0026115090,0240,07/25/2025 04:30:00 PM,0,LAS BRISAS,VALLE DEL CAUCA,ARGELIA,SAN JUÁN,4.775583333,-76.144277778,PRECIPITACIÓN,mm
0026085170,0240,07/25/2025 04:40:00 PM,0,BASE AEREA MARCO FIDEL SUAREZ,VALLE DEL CAUCA,CALI,CAUCA,3.454414,-76.499948,PRECIPITACIÓN,mm
2633700150,0240,07/25/2025 04:40:00 PM,0,GUAYABAL,VALLE DEL CAUCA,ZARZAL,CAUCA,4.405278889,-76.100752778,PRECIPITACIÓN,mm
2633500119,0240,07/25/2025 04:40:00 PM,0,GUACHAL PALMASECA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.559541667,-76.456897222,PRECIPITACIÓN,mm
0026085160,0240,07/25/2025 04:40:00 PM,0,SILOE,VALLE DEL CAUCA,CALI,CAUCA,3.4255,-76.56061111,PRECIPITACIÓN,mm
5311500121,0240,07/25/2025 04:40:00 PM,0,LA CUMBRE,VALLE DEL CAUCA,LA CUMBRE,TAPAJE - DAGUA - DIRECTOS,3.645194444,-76.56475,PRECIPITACIÓN,mm
0026055120,0240,07/25/2025 04:40:00 PM,0,UNIVERSIDAD DEL VALLE,VALLE DEL CAUCA,CALI,CAUCA,3.378,-76.53388889,PRECIPITACIÓN,mm
0026115090,0240,07/25/2025 04:40:00 PM,0,LAS BRISAS,VALLE DEL CAUCA,ARGELIA,SAN JUÁN,4.775583333,-76.144277778,PRECIPITACIÓN,mm
0026055100,0240,07/25/2025 04:40:00 PM,0,FARALLONES,VALLE DEL CAUCA,CALI,CAUCA,3.416055556,-76.6515,PRECIPITACIÓN,mm
2629700151,0240,07/25/2025 04:40:00 PM,0,LA VORAGINE,VALLE DEL CAUCA,CALI,CAUCA,3.346305556,-76.589333333,PRECIPITACIÓN,mm
2636700098,0240,07/25/2025 04:40:00 PM,0,HACIENDA LA GRACIOSA,VALLE DEL CAUCA,BUGALAGRANDE,CAUCA,4.2398,-76.049247222,PRECIPITACIÓN,mm
0026075120,0240,07/25/2025 04:40:00 PM,0,LA DIANA,VALLE DEL CAUCA,FLORIDA,CAUCA,3.314055556,-76.18569444,PRECIPITACIÓN,mm
0026115090,0240,07/25/2025 04:50:00 PM,0,LAS BRISAS,VALLE DEL CAUCA,ARGELIA,SAN JUÁN,4.775583333,-76.144277778,PRECIPITACIÓN,mm
0026055120,0240,07/25/2025 04:50:00 PM,0,UNIVERSIDAD DEL VALLE,VALLE DEL CAUCA,CALI,CAUCA,3.378,-76.53388889,PRECIPITACIÓN,mm
0026075120,0240,07/25/2025 04:50:00 PM,0,LA DIANA,VALLE DEL CAUCA,FLORIDA,CAUCA,3.314055556,-76.18569444,PRECIPITACIÓN,mm
2636700098,0240,07/25/2025 04:50:00 PM,0,HACIENDA LA GRACIOSA,VALLE DEL CAUCA,BUGALAGRANDE,CAUCA,4.2398,-76.049247222,PRECIPITACIÓN,mm
0026055100,0240,07/25/2025 04:50:00 PM,0,FARALLONES,VALLE DEL CAUCA,CALI,CAUCA,3.416055556,-76.6515,PRECIPITACIÓN,mm
0026085160,0240,07/25/2025 04:50:00 PM,0,SILOE,VALLE DEL CAUCA,CALI,CAUCA,3.4255,-76.56061111,PRECIPITACIÓN,mm
5311500121,0240,07/25/2025 04:50:00 PM,0,LA CUMBRE,VALLE DEL CAUCA,LA CUMBRE,TAPAJE - DAGUA - DIRECTOS,3.645194444,-76.56475,PRECIPITACIÓN,mm
2633500119,0240,07/25/2025 04:50:00 PM,0,GUACHAL PALMASECA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.559541667,-76.456897222,PRECIPITACIÓN,mm
2629700151,0240,07/25/2025 04:50:00 PM,0,LA VORAGINE,VALLE DEL CAUCA,CALI,CAUCA,3.346305556,-76.589333333,PRECIPITACIÓN,mm
2633700150,0240,07/25/2025 04:50:00 PM,0,GUAYABAL,VALLE DEL CAUCA,ZARZAL,CAUCA,4.405278889,-76.100752778,PRECIPITACIÓN,mm
0026085170,0240,07/25/2025 04:50:00 PM,0,BASE AEREA MARCO FIDEL SUAREZ,VALLE DEL CAUCA,CALI,CAUCA,3.454414,-76.499948,PRECIPITACIÓN,mm
0026085170,0240,07/25/2025 05:00:00 PM,0,BASE AEREA MARCO FIDEL SUAREZ,VALLE DEL CAUCA,CALI,CAUCA,3.454414,-76.499948,PRECIPITACIÓN,mm
0026085160,0240,07/25/2025 05:00:00 PM,0,SILOE,VALLE DEL CAUCA,CALI,CAUCA,3.4255,-76.56061111,PRECIPITACIÓN,mm
2633700150,0240,07/25/2025 05:00:00 PM,0,GUAYABAL,VALLE DEL CAUCA,ZARZAL,CAUCA,4.405278889,-76.100752778,PRECIPITACIÓN,mm
0026075120,0240,07/25/2025 05:00:00 PM,0,LA DIANA,VALLE DEL CAUCA,FLORIDA,CAUCA,3.314055556,-76.18569444,PRECIPITACIÓN,mm
0026055120,0240,07/25/2025 05:00:00 PM,0,UNIVERSIDAD DEL VALLE,VALLE DEL CAUCA,CALI,CAUCA,3.378,-76.53388889,PRECIPITACIÓN,mm
0026055100,0240,07/25/2025 05:00:00 PM,0,FARALLONES,VALLE DEL CAUCA,CALI,CAUCA,3.416055556,-76.6515,PRECIPITACIÓN,mm
5311500121,0240,07/25/2025 05:00:00 PM,0,LA CUMBRE,VALLE DEL CAUCA,LA CUMBRE,TAPAJE - DAGUA - DIRECTOS,3.645194444,-76.56475,PRECIPITACIÓN,mm
0026115090,0240,07/25/2025 05:00:00 PM,0,LAS BRISAS,VALLE DEL CAUCA,ARGELIA,SAN JUÁN,4.775583333,-76.144277778,PRECIPITACIÓN,mm
2636700098,0240,07/25/2025 05:00:00 PM,0,HACIENDA LA GRACIOSA,VALLE DEL CAUCA,BUGALAGRANDE,CAUCA,4.2398,-76.049247222,PRECIPITACIÓN,mm
2629700151,0240,07/25/2025 05:00:00 PM,0,LA VORAGINE,VALLE DEL CAUCA,CALI,CAUCA,3.346305556,-76.589333333,PRECIPITACIÓN,mm
2633500119,0240,07/25/2025 05:00:00 PM,0,GUACHAL PALMASECA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.559541667,-76.456897222,PRECIPITACIÓN,mm
2633700150,0240,07/25/2025 05:10:00 PM,0,GUAYABAL,VALLE DEL CAUCA,ZARZAL,CAUCA,4.405278889,-76.100752778,PRECIPITACIÓN,mm
2636700098,0240,07/25/2025 05:10:00 PM,0,HACIENDA LA GRACIOSA,VALLE DEL CAUCA,BUGALAGRANDE,CAUCA,4.2398,-76.049247222,PRECIPITACIÓN,mm
0026115090,0240,07/25/2025 05:10:00 PM,0,LAS BRISAS,VALLE DEL CAUCA,ARGELIA,SAN JUÁN,4.775583333,-76.144277778,PRECIPITACIÓN,mm
0026085170,0240,07/25/2025 05:10:00 PM,0,BASE AEREA MARCO FIDEL SUAREZ,VALLE DEL CAUCA,CALI,CAUCA,3.454414,-76.499948,PRECIPITACIÓN,mm
5311500121,0240,07/25/2025 05:10:00 PM,0,LA CUMBRE,VALLE DEL CAUCA,LA CUMBRE,TAPAJE - DAGUA - DIRECTOS,3.645194444,-76.56475,PRECIPITACIÓN,mm
0026055120,0240,07/25/2025 05:10:00 PM,0,UNIVERSIDAD DEL VALLE,VALLE DEL CAUCA,CALI,CAUCA,3.378,-76.53388889,PRECIPITACIÓN,mm
2629700151,0240,07/25/2025 05:10:00 PM,0,LA VORAGINE,VALLE DEL CAUCA,CALI,CAUCA,3.346305556,-76.589333333,PRECIPITACIÓN,mm
0026055100,0240,07/25/2025 05:10:00 PM,0,FARALLONES,VALLE DEL CAUCA,CALI,CAUCA,3.416055556,-76.6515,PRECIPITACIÓN,mm
2633500119,0240,07/25/2025 05:10:00 PM,0,GUACHAL PALMASECA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.559541667,-76.456897222,PRECIPITACIÓN,mm
0026075120,0240,07/25/2025 05:10:00 PM,0,LA DIANA,VALLE DEL CAUCA,FLORIDA,CAUCA,3.314055556,-76.18569444,PRECIPITACIÓN,mm
0026085160,0240,07/25/2025 05:10:00 PM,0,SILOE,VALLE DEL CAUCA,CALI,CAUCA,3.4255,-76.56061111,PRECIPITACIÓN,mm
0026055120,0240,07/25/2025 05:20:00 PM,0,UNIVERSIDAD DEL VALLE,VALLE DEL CAUCA,CALI,CAUCA,3.378,-76.53388889,PRECIPITACIÓN,mm
0026075120,0240,07/25/2025 05:20:00 PM,0,LA DIANA,VALLE DEL CAUCA,FLORIDA,CAUCA,3.314055556,-76.18569444,PRECIPITACIÓN,mm
2629700151,0240,07/25/2025 05:20:00 PM,0,LA VORAGINE,VALLE DEL CAUCA,CALI,CAUCA,3.346305556,-76.589333333,PRECIPITACIÓN,mm
2633700150,0240,07/25/2025 05:20:00 PM,0,GUAYABAL,VALLE DEL CAUCA,ZARZAL,CAUCA,4.405278889,-76.100752778,PRECIPITACIÓN,mm
0026115090,0240,07/25/2025 05:20:00 PM,0,LAS BRISAS,VALLE DEL CAUCA,ARGELIA,SAN JUÁN,4.775583333,-76.144277778,PRECIPITACIÓN,mm
2633500119,0240,07/25/2025 05:20:00 PM,0,GUACHAL PALMASECA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.559541667,-76.456897222,PRECIPITACIÓN,mm
2636700098,0240,07/25/2025 05:20:00 PM,0,HACIENDA LA GRACIOSA,VALLE DEL CAUCA,BUGALAGRANDE,CAUCA,4.2398,-76.049247222,PRECIPITACIÓN,mm
5311500121,0240,07/25/2025 05:20:00 PM,0,LA CUMBRE,VALLE DEL CAUCA,LA CUMBRE,TAPAJE - DAGUA - DIRECTOS,3.645194444,-76.56475,PRECIPITACIÓN,mm
0026055100,0240,07/25/2025 05:20:00 PM,0,FARALLONES,VALLE DEL CAUCA,CALI,CAUCA,3.416055556,-76.6515,PRECIPITACIÓN,mm
0026085170,0240,07/25/2025 05:20:00 PM,0,BASE AEREA MARCO FIDEL SUAREZ,VALLE DEL CAUCA,CALI,CAUCA,3.454414,-76.499948,PRECIPITACIÓN,mm
0026085160,0240,07/25/2025 05:20:00 PM,0,SILOE,VALLE DEL CAUCA,CALI,CAUCA,3.4255,-76.56061111,PRECIPITACIÓN,mm
0026115090,0240,07/25/2025 05:30:00 PM,0,LAS BRISAS,VALLE DEL CAUCA,ARGELIA,SAN JUÁN,4.775583333,-76.144277778,PRECIPITACIÓN,mm
5311500121,0240,07/25/2025 05:30:00 PM,0,LA CUMBRE,VALLE DEL CAUCA,LA CUMBRE,TAPAJE - DAGUA - DIRECTOS,3.645194444,-76.56475,PRECIPITACIÓN,mm
2633500119,0240,07/25/2025 05:30:00 PM,0,GUACHAL PALMASECA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.559541667,-76.456897222,PRECIPITACIÓN,mm
0026055120,0240,07/25/2025 05:30:00 PM,0,UNIVERSIDAD DEL VALLE,VALLE DEL CAUCA,CALI,CAUCA,3.378,-76.53388889,PRECIPITACIÓN,mm
2636700098,0240,07/25/2025 05:30:00 PM,0,HACIENDA LA GRACIOSA,VALLE DEL CAUCA,BUGALAGRANDE,CAUCA,4.2398,-76.049247222,PRECIPITACIÓN,mm
0026055100,0240,07/25/2025 05:30:00 PM,0,FARALLONES,VALLE DEL CAUCA,CALI,CAUCA,3.416055556,-76.6515,PRECIPITACIÓN,mm
0026085170,0240,07/25/2025 05:30:00 PM,0,BASE AEREA MARCO FIDEL SUAREZ,VALLE DEL CAUCA,CALI,CAUCA,3.454414,-76.499948,PRECIPITACIÓN,mm
2629700151,0240,07/25/2025 05:30:00 PM,0,LA VORAGINE,VALLE DEL CAUCA,CALI,CAUCA,3.346305556,-76.589333333,PRECIPITACIÓN,mm
0026085160,0240,07/25/2025 05:30:00 PM,0,SILOE,VALLE DEL CAUCA,CALI,CAUCA,3.4255,-76.56061111,PRECIPITACIÓN,mm
0026075120,0240,07/25/2025 05:30:00 PM,0,LA DIANA,VALLE DEL CAUCA,FLORIDA,CAUCA,3.314055556,-76.18569444,PRECIPITACIÓN,mm
2633700150,0240,07/25/2025 05:30:00 PM,0,GUAYABAL,VALLE DEL CAUCA,ZARZAL,CAUCA,4.405278889,-76.100752778,PRECIPITACIÓN,mm
0026115090,0240,07/25/2025 05:40:00 PM,0,LAS BRISAS,VALLE DEL CAUCA,ARGELIA,SAN JUÁN,4.775583333,-76.144277778,PRECIPITACIÓN,mm
0026085160,0240,07/25/2025 05:40:00 PM,0,SILOE,VALLE DEL CAUCA,CALI,CAUCA,3.4255,-76.56061111,PRECIPITACIÓN,mm
2633500119,0240,07/25/2025 05:40:00 PM,0,GUACHAL PALMASECA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.559541667,-76.456897222,PRECIPITACIÓN,mm
0026055100,0240,07/25/2025 05:40:00 PM,0,FARALLONES,VALLE DEL CAUCA,CALI,CAUCA,3.416055556,-76.6515,PRECIPITACIÓN,mm
0026085170,0240,07/25/2025 05:40:00 PM,0,BASE AEREA MARCO FIDEL SUAREZ,VALLE DEL CAUCA,CALI,CAUCA,3.454414,-76.499948,PRECIPITACIÓN,mm
0026055120,0240,07/25/2025 05:40:00 PM,0,UNIVERSIDAD DEL VALLE,VALLE DEL CAUCA,CALI,CAUCA,3.378,-76.53388889,PRECIPITACIÓN,mm
2633700150,0240,07/25/2025 05:40:00 PM,0,GUAYABAL,VALLE DEL CAUCA,ZARZAL,CAUCA,4.405278889,-76.100752778,PRECIPITACIÓN,mm
2636700098,0240,07/25/2025 05:40:00 PM,0,HACIENDA LA GRACIOSA,VALLE DEL CAUCA,BUGALAGRANDE,CAUCA,4.2398,-76.049247222,PRECIPITACIÓN,mm
5311500121,0240,07/25/2025 05:40:00 PM,0,LA CUMBRE,VALLE DEL CAUCA,LA CUMBRE,TAPAJE - DAGUA - DIRECTOS,3.645194444,-76.56475,PRECIPITACIÓN,mm
0026075120,0240,07/25/2025 05:40:00 PM,0,LA DIANA,VALLE DEL CAUCA,FLORIDA,CAUCA,3.314055556,-76.18569444,PRECIPITACIÓN,mm
2629700151,0240,07/25/2025 05:40:00 PM,0,LA VORAGINE,VALLE DEL CAUCA,CALI,CAUCA,3.346305556,-76.589333333,PRECIPITACIÓN,mm
0026085170,0240,07/25/2025 05:50:00 PM,0,BASE AEREA MARCO FIDEL SUAREZ,VALLE DEL CAUCA,CALI,CAUCA,3.454414,-76.499948,PRECIPITACIÓN,mm
2633500119,0240,07/25/2025 05:50:00 PM,0,GUACHAL PALMASECA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.559541667,-76.456897222,PRECIPITACIÓN,mm
2636700098,0240,07/25/2025 05:50:00 PM,0,HACIENDA LA GRACIOSA,VALLE DEL CAUCA,BUGALAGRANDE,CAUCA,4.2398,-76.049247222,PRECIPITACIÓN,mm
0026055120,0240,07/25/2025 05:50:00 PM,0,UNIVERSIDAD DEL VALLE,VALLE DEL CAUCA,CALI,CAUCA,3.378,-76.53388889,PRECIPITACIÓN,mm
0026055100,0240,07/25/2025 05:50:00 PM,0,FARALLONES,VALLE DEL CAUCA,CALI,CAUCA,3.416055556,-76.6515,PRECIPITACIÓN,mm
0026115090,0240,07/25/2025 05:50:00 PM,0,LAS BRISAS,VALLE DEL CAUCA,ARGELIA,SAN JUÁN,4.775583333,-76.144277778,PRECIPITACIÓN,mm
2629700151,0240,07/25/2025 05:50:00 PM,0,LA VORAGINE,VALLE DEL CAUCA,CALI,CAUCA,3.346305556,-76.589333333,PRECIPITACIÓN,mm
5311500121,0240,07/25/2025 05:50:00 PM,0,LA CUMBRE,VALLE DEL CAUCA,LA CUMBRE,TAPAJE - DAGUA - DIRECTOS,3.645194444,-76.56475,PRECIPITACIÓN,mm
0026085160,0240,07/25/2025 05:50:00 PM,0,SILOE,VALLE DEL CAUCA,CALI,CAUCA,3.4255,-76.56061111,PRECIPITACIÓN,mm
0026075120,0240,07/25/2025 05:50:00 PM,0,LA DIANA,VALLE DEL CAUCA,FLORIDA,CAUCA,3.314055556,-76.18569444,PRECIPITACIÓN,mm
2633700150,0240,07/25/2025 05:50:00 PM,0,GUAYABAL,VALLE DEL CAUCA,ZARZAL,CAUCA,4.405278889,-76.100752778,PRECIPITACIÓN,mm
0026075120,0240,07/25/2025 06:00:00 PM,0,LA DIANA,VALLE DEL CAUCA,FLORIDA,CAUCA,3.314055556,-76.18569444,PRECIPITACIÓN,mm
5311500121,0240,07/25/2025 06:00:00 PM,0,LA CUMBRE,VALLE DEL CAUCA,LA CUMBRE,TAPAJE - DAGUA - DIRECTOS,3.645194444,-76.56475,PRECIPITACIÓN,mm
0026055100,0240,07/25/2025 06:00:00 PM,0,FARALLONES,VALLE DEL CAUCA,CALI,CAUCA,3.416055556,-76.6515,PRECIPITACIÓN,mm
2633500119,0240,07/25/2025 06:00:00 PM,0,GUACHAL PALMASECA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.559541667,-76.456897222,PRECIPITACIÓN,mm
2633700150,0240,07/25/2025 06:00:00 PM,0,GUAYABAL,VALLE DEL CAUCA,ZARZAL,CAUCA,4.405278889,-76.100752778,PRECIPITACIÓN,mm
0026085170,0240,07/25/2025 06:00:00 PM,0,BASE AEREA MARCO FIDEL SUAREZ,VALLE DEL CAUCA,CALI,CAUCA,3.454414,-76.499948,PRECIPITACIÓN,mm
0026115090,0240,07/25/2025 06:00:00 PM,0,LAS BRISAS,VALLE DEL CAUCA,ARGELIA,SAN JUÁN,4.775583333,-76.144277778,PRECIPITACIÓN,mm
0026085160,0240,07/25/2025 06:00:00 PM,0,SILOE,VALLE DEL CAUCA,CALI,CAUCA,3.4255,-76.56061111,PRECIPITACIÓN,mm
2629700151,0240,07/25/2025 06:00:00 PM,0,LA VORAGINE,VALLE DEL CAUCA,CALI,CAUCA,3.346305556,-76.589333333,PRECIPITACIÓN,mm
2636700098,0240,07/25/2025 06:00:00 PM,0,HACIENDA LA GRACIOSA,VALLE DEL CAUCA,BUGALAGRANDE,CAUCA,4.2398,-76.049247222,PRECIPITACIÓN,mm
0026055120,0240,07/25/2025 06:00:00 PM,0,UNIVERSIDAD DEL VALLE,VALLE DEL CAUCA,CALI,CAUCA,3.378,-76.53388889,PRECIPITACIÓN,mm
0026085170,0240,07/25/2025 06:10:00 PM,0,BASE AEREA MARCO FIDEL SUAREZ,VALLE DEL CAUCA,CALI,CAUCA,3.454414,-76.499948,PRECIPITACIÓN,mm
0026085160,0240,07/25/2025 06:10:00 PM,0,SILOE,VALLE DEL CAUCA,CALI,CAUCA,3.4255,-76.56061111,PRECIPITACIÓN,mm
0026075120,0240,07/25/2025 06:10:00 PM,0,LA DIANA,VALLE DEL CAUCA,FLORIDA,CAUCA,3.314055556,-76.18569444,PRECIPITACIÓN,mm
0026055120,0240,07/25/2025 06:10:00 PM,0,UNIVERSIDAD DEL VALLE,VALLE DEL CAUCA,CALI,CAUCA,3.378,-76.53388889,PRECIPITACIÓN,mm
0026115090,0240,07/25/2025 06:10:00 PM,0,LAS BRISAS,VALLE DEL CAUCA,ARGELIA,SAN JUÁN,4.775583333,-76.144277778,PRECIPITACIÓN,mm
2633500119,0240,07/25/2025 06:10:00 PM,0,GUACHAL PALMASECA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.559541667,-76.456897222,PRECIPITACIÓN,mm
0026055100,0240,07/25/2025 06:10:00 PM,0,FARALLONES,VALLE DEL CAUCA,CALI,CAUCA,3.416055556,-76.6515,PRECIPITACIÓN,mm
2629700151,0240,07/25/2025 06:10:00 PM,0,LA VORAGINE,VALLE DEL CAUCA,CALI,CAUCA,3.346305556,-76.589333333,PRECIPITACIÓN,mm
2636700098,0240,07/25/2025 06:10:00 PM,0,HACIENDA LA GRACIOSA,VALLE DEL CAUCA,BUGALAGRANDE,CAUCA,4.2398,-76.049247222,PRECIPITACIÓN,mm
5311500121,0240,07/25/2025 06:10:00 PM,0,LA CUMBRE,VALLE DEL CAUCA,LA CUMBRE,TAPAJE - DAGUA - DIRECTOS,3.645194444,-76.56475,PRECIPITACIÓN,mm
2633700150,0240,07/25/2025 06:10:00 PM,0,GUAYABAL,VALLE DEL CAUCA,ZARZAL,CAUCA,4.405278889,-76.100752778,PRECIPITACIÓN,mm
2633700150,0240,07/25/2025 06:20:00 PM,0,GUAYABAL,VALLE DEL CAUCA,ZARZAL,CAUCA,4.405278889,-76.100752778,PRECIPITACIÓN,mm
2629700151,0240,07/25/2025 06:20:00 PM,0,LA VORAGINE,VALLE DEL CAUCA,CALI,CAUCA,3.346305556,-76.589333333,PRECIPITACIÓN,mm
0026075120,0240,07/25/2025 06:20:00 PM,0,LA DIANA,VALLE DEL CAUCA,FLORIDA,CAUCA,3.314055556,-76.18569444,PRECIPITACIÓN,mm
2636700098,0240,07/25/2025 06:20:00 PM,0,HACIENDA LA GRACIOSA,VALLE DEL CAUCA,BUGALAGRANDE,CAUCA,4.2398,-76.049247222,PRECIPITACIÓN,mm
0026115090,0240,07/25/2025 06:20:00 PM,0,LAS BRISAS,VALLE DEL CAUCA,ARGELIA,SAN JUÁN,4.775583333,-76.144277778,PRECIPITACIÓN,mm
0026055100,0240,07/25/2025 06:20:00 PM,0,FARALLONES,VALLE DEL CAUCA,CALI,CAUCA,3.416055556,-76.6515,PRECIPITACIÓN,mm
0026085160,0240,07/25/2025 06:20:00 PM,0,SILOE,VALLE DEL CAUCA,CALI,CAUCA,3.4255,-76.56061111,PRECIPITACIÓN,mm
0026055120,0240,07/25/2025 06:20:00 PM,0,UNIVERSIDAD DEL VALLE,VALLE DEL CAUCA,CALI,CAUCA,3.378,-76.53388889,PRECIPITACIÓN,mm
5311500121,0240,07/25/2025 06:20:00 PM,0,LA CUMBRE,VALLE DEL CAUCA,LA CUMBRE,TAPAJE - DAGUA - DIRECTOS,3.645194444,-76.56475,PRECIPITACIÓN,mm
2633500119,0240,07/25/2025 06:20:00 PM,0,GUACHAL PALMASECA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.559541667,-76.456897222,PRECIPITACIÓN,mm
0026085170,0240,07/25/2025 06:20:00 PM,0,BASE AEREA MARCO FIDEL SUAREZ,VALLE DEL CAUCA,CALI,CAUCA,3.454414,-76.499948,PRECIPITACIÓN,mm
5311500121,0240,07/25/2025 06:30:00 PM,0,LA CUMBRE,VALLE DEL CAUCA,LA CUMBRE,TAPAJE - DAGUA - DIRECTOS,3.645194444,-76.56475,PRECIPITACIÓN,mm
0026055120,0240,07/25/2025 06:30:00 PM,0,UNIVERSIDAD DEL VALLE,VALLE DEL CAUCA,CALI,CAUCA,3.378,-76.53388889,PRECIPITACIÓN,mm
0026085160,0240,07/25/2025 06:30:00 PM,0,SILOE,VALLE DEL CAUCA,CALI,CAUCA,3.4255,-76.56061111,PRECIPITACIÓN,mm
0026075120,0240,07/25/2025 06:30:00 PM,0,LA DIANA,VALLE DEL CAUCA,FLORIDA,CAUCA,3.314055556,-76.18569444,PRECIPITACIÓN,mm
2636700098,0240,07/25/2025 06:30:00 PM,0,HACIENDA LA GRACIOSA,VALLE DEL CAUCA,BUGALAGRANDE,CAUCA,4.2398,-76.049247222,PRECIPITACIÓN,mm
2633500119,0240,07/25/2025 06:30:00 PM,0,GUACHAL PALMASECA,VALLE DEL CAUCA,PALMIRA,CAUCA,3.559541667,-76.456897222,PRECIPITACIÓN,mm
0026085170,0240,07/25/2025 06:30:00 PM,0,BASE AEREA MARCO FIDEL SUAREZ,VALLE DEL CAUCA,CALI,CAUCA,3.454414,-76.499948,PRECIPITACIÓN,mm
2633700150,0240,07/25/2025 06:30:00 PM,0,GUAYABAL,VALLE DEL CAUCA,ZARZAL,CAUCA,4.405278889,-76.100752778,PRECIPITACIÓN,mm
0026055100,0240,07/25/2025 06:30:00 PM,0,FARALLONES,VALLE DEL CAUCA,CALI,CAUCA,3.416055556,-76.6515,PRECIPITACIÓN,mm
2629700151,0240,07/25/2025 06:30:00 PM,0,LA VORAGINE,VALLE DEL CAUCA,CALI,CAUCA,3.346305556,-76.589333333,PRECIPITACIÓN,mm
0026115090,0240,07/25/2025 06:30:00 PM,0,LAS BRISAS,VALLE DEL CAUCA,ARGELIA,SAN JUÁN,4.775583333,-76.144277778,PRECIPITACIÓN,mm
0026085170,0240,07/25/2025 06:40:00 PM,0,BASE AEREA MARCO FIDEL SUAREZ,VALLE DEL CAUCA,CALI,CAUCA,3.454414,-76.499948,PRECIPITACIÓN,mm
0026115090,0240,07/25/2025 06:40:00 PM,0,LAS BRISAS,VALLE DEL CAUCA,ARGELIA,SAN JUÁN,4.775583333,-76.144277778,PRECIPITACIÓN,mm
